date	region_id	email_opens	avg_order_value	social_likes	total_site_visits	total_orders
2020-01-09	2	5009	29.36	161	102684	567
2020-01-09	3	8049	41.4	626	189490	844
2020-01-09	4	8792	51.73	784	302767	877
2020-01-09	5	2665	20.81	1090	37949	555
2020-01-09	6	6920	45.67	664	213318	983
2020-01-09	7	10950	44.71	575	299100	968
2020-01-09	8	7419	40.61	325	146381	616
2020-01-09	9	4531	21.21	965	79714	584
2020-01-09	10	12944	13.56	1066	411868	1255
2020-01-09	11	6491	45.84	101	186010	721
2020-01-09	12	10857	9.08	1056	346891	1063
2020-01-09	13	12248	25.41	265	264491	901
2020-01-09	14	5385	19	252	122775	637
2020-01-09	15	13575	21.29	495	249326	780
2020-01-09	16	7736	48.91	950	169378	747
2020-01-09	17	10316	37.48	705	336596	1116
2020-01-09	18	7853	5.52	824	215138	899
2020-01-09	19	11246	44.05	1107	294080	995
2020-01-09	20	9769	27.03	213	277761	879
2020-01-10	1	12375	19.91	172	268941	952
2020-01-10	2	5593	16.68	810	117151	518
2020-01-10	3	8821	11.19	447	219707	750
2020-01-10	4	2257	6.35	982	46514	592
2020-01-10	5	6591	9.18	270	195988	868
2020-01-10	6	10523	18.49	759	202866	900
2020-01-10	7	14869	29.91	220	348562	974
2020-01-10	8	9218	15.52	251	196036	586
2020-01-10	9	12053	32.21	372	366923	1096
2020-01-10	10	8860	25.96	485	295237	1024
2020-01-10	11	9076	44.5	345	187333	763
2020-01-10	12	25076	30.8	707	514001	826
2020-01-10	13	7170	18.22	614	150372	686
2020-01-10	14	13623	51.78	856	404948	1114
2020-01-10	15	4708	7.43	564	151021	570
2020-01-10	16	3919	25.91	1051	112719	607
2020-01-10	17	16021	32.58	655	496675	736
2020-01-10	18	10224	20.88	327	285159	925
2020-01-10	19	21193	28.5	782	418287	1167
2020-01-10	20	5737	28.39	549	123917	422
2020-01-11	1	7195	5.31	1023	181641	788
2020-01-11	2	6476	47.75	538	192281	754
2020-01-11	3	5911	33.73	738	148010	661
2020-01-11	4	8747	7.57	459	191276	803
2020-01-11	5	8689	22.92	808	175220	641
2020-01-11	6	9555	31.6	78	284827	793
2020-01-11	7	10753	33.35	447	286473	1034
2020-01-11	8	4755	48.1	974	133286	670
2020-01-11	9	14601	38.81	730	292556	1022
2020-01-11	10	6785	26.83	983	210680	826
2020-01-11	11	5043	11.67	78	137207	587
2020-01-11	12	10422	33.15	693	287266	790
2020-01-11	13	10304	17.75	774	182427	774
2020-01-11	14	10238	37.95	319	314767	1010
2020-01-11	15	8675	31.18	1006	232767	784
2020-01-11	16	10929	27.08	870	275164	954
2020-01-11	17	11321	16.07	420	359257	1174
2020-01-11	18	9057	21.54	937	169388	637
2020-01-11	19	14197	37.02	1048	282472	952
2020-01-11	20	5046	35.88	450	138168	636
2020-01-12	1	15236	41.46	690	276621	921
2020-01-12	2	12891	20.63	69	294955	1049
2020-01-12	3	7876	43.32	259	251836	825
2020-01-12	4	12676	33.87	552	311306	1066
2020-01-12	5	8792	13.46	523	194030	792
2020-01-12	6	1954	44.89	575	55386	392
2020-01-12	7	4747	13.65	236	87172	487
2020-01-12	8	4954	30.36	796	138714	589
2020-01-12	9	11842	6.03	1092	279172	982
2020-01-12	10	11312	26.52	656	327046	1223
2020-01-12	11	7210	20.3	251	214295	726
2020-01-12	12	17374	47.42	505	322485	1006
2020-01-12	13	7581	40.83	386	246902	951
2020-01-12	14	6937	31.51	444	213266	771
2020-01-12	15	9369	29.36	123	239845	988
2020-01-12	16	9212	47.14	248	172326	764
2020-01-12	17	7083	29.77	308	193368	845
2020-01-12	18	8957	46.51	589	235520	789
2020-01-12	19	6161	51.64	689	104133	497
2020-01-12	20	5660	21.82	511	115558	470
2020-01-13	1	6216	27.24	357	179611	631
2020-01-13	2	8568	26.3	717	229220	926
2020-01-13	3	10093	49.05	391	326088	980
2020-01-13	4	2963	29.92	975	63175	534
2020-01-13	5	6854	16.89	363	201284	651
2020-01-13	6	4272	37.52	1034	82236	424
2020-01-13	7	8932	14.86	395	189519	890
2020-01-13	8	14302	30.53	405	357083	1255
2020-01-13	9	12305	33.31	626	321072	1014
2020-01-13	10	15056	47.01	120	276243	857
2020-01-13	11	7125	19.09	770	188738	570
2020-01-13	12	7396	27.26	852	238720	1036
2020-01-13	13	5270	52.9	857	146745	754
2020-01-13	14	3949	12.56	231	108909	467
2020-01-13	15	9661	41.39	144	256576	934
2020-01-13	16	7942	29.31	373	261282	903
2020-01-13	17	8496	36.63	987	143034	944
2020-01-13	18	15664	36.84	455	332723	1092
2020-01-13	19	6380	37.33	369	148938	661
2020-01-13	20	4317	11.6	99	111619	537
2020-01-14	1	5584	45.56	559	112064	733
2020-01-14	2	12022	23.96	876	396442	1248
2020-01-14	3	3550	9.88	287	97877	435
2020-01-14	4	8997	13.37	1088	222418	902
2020-01-14	5	13249	14.97	135	386069	1020
2020-01-14	6	11077	14.37	375	205446	461
2020-01-14	7	3882	25.75	1090	122417	337
2020-01-14	8	2456	29.82	914	63945	407
2020-01-14	9	5553	6.86	609	118925	690
2020-01-14	10	11881	41.83	222	388823	1237
2020-01-14	11	10490	8.27	752	253200	745
2020-01-14	12	11595	44.81	550	293383	994
2020-01-14	13	6670	33.42	237	201461	718
2020-01-14	14	4080	50.28	116	116231	535
2020-01-14	15	6145	18.84	1041	135586	566
2020-01-14	16	6360	29.23	146	174347	625
2020-01-14	17	5054	45.08	161	170467	625
2020-01-14	18	7705	13.63	143	206229	664
2020-01-14	19	14573	43.37	312	479598	1326
2020-01-14	20	10678	41.72	871	220974	803
2020-01-15	1	18983	49.58	233	433094	1314
2020-01-15	2	6500	23.26	1001	169664	717
2020-01-15	3	13510	45.96	685	268692	932
2020-01-15	4	2601	8.41	387	59485	484
2020-01-15	5	10394	28.49	857	209231	759
2020-01-15	6	7280	52.86	131	203820	602
2020-01-15	7	8149	14.43	489	270509	877
2020-01-15	8	12874	25.22	491	253946	933
2020-01-15	9	17250	38.52	983	319231	875
2020-01-15	10	6580	6.09	461	175221	609
2020-01-15	11	6033	14.31	483	162841	587
2020-01-15	12	16227	51.67	176	398231	1107
2020-01-15	13	8394	45.66	380	151473	617
2020-01-15	14	9602	26.75	896	184755	836
2020-01-15	15	8329	51.8	304	236995	757
2020-01-15	16	5931	26.08	1058	102634	649
2020-01-15	17	10165	43.42	367	267667	901
2020-01-15	18	3385	41.62	330	103019	591
2020-01-15	19	7664	12.42	738	201132	814
2020-01-15	20	8948	41.08	918	289253	944
2020-01-16	1	4559	22.58	130	103471	270
2020-01-16	2	7058	19.08	913	196951	754
2020-01-16	3	10349	23.64	564	193311	792
2020-01-16	4	3330	39.23	326	82279	621
2020-01-16	5	7423	31.63	93	214598	701
2020-01-16	6	9266	34.36	757	169580	787
2020-01-16	7	8345	34.87	724	256983	988
2020-01-16	8	7737	33.17	150	170156	607
2020-01-16	9	8055	14.21	432	262625	1016
2020-01-16	10	8740	22.2	640	235993	975
2020-01-16	11	5839	44.9	1106	176432	823
2020-01-16	12	6924	6.57	608	177555	885
2020-01-16	13	11524	39.92	331	278033	942
2020-01-16	14	4111	50.23	328	104484	627
2020-01-16	15	3565	27.99	190	105936	483
2020-01-16	16	7648	26.57	307	170087	637
2020-01-16	17	5895	31.17	297	200462	490
2020-01-16	18	9799	44	736	219696	821
2020-01-16	19	10253	9.87	529	202568	750
2020-01-16	20	4802	52.12	167	117678	610
2020-01-17	1	7828	42.99	918	184800	971
2020-01-17	2	8725	8.08	257	174971	751
2020-01-17	3	5827	16.3	1010	106083	610
2020-01-17	4	10446	30.05	683	365073	1022
2020-01-17	5	9160	26.08	666	233594	729
2020-01-17	6	10500	14.3	916	245324	946
2020-01-17	7	9570	10.89	578	220233	838
2020-01-17	8	3919	32.97	128	123683	537
2020-01-17	9	12730	5.12	396	285516	922
2020-01-17	10	9634	24.32	66	302394	805
2020-01-17	11	9658	5.37	722	253075	736
2020-01-17	12	9747	10.07	421	299150	837
2020-01-17	13	12623	44.08	195	330725	972
2020-01-17	14	10913	11.23	528	312166	998
2020-01-17	15	8091	38.05	261	165551	718
2020-01-17	16	5128	44.12	676	97209	604
2020-01-17	17	6855	20.14	323	192640	850
2020-01-17	18	10239	6.78	670	235486	760
2020-01-17	19	8675	10.32	909	286866	899
2020-01-17	20	6280	52.39	943	202554	776
2020-01-18	1	3154	16.18	415	81462	391
2020-01-18	2	9243	31.87	223	204714	757
2020-01-18	3	11345	14.54	428	285730	924
2020-01-18	4	8265	12.31	1055	277630	945
2020-01-18	5	4937	26.23	1060	105470	607
2020-01-18	6	8595	35.52	104	244289	767
2020-01-18	7	6360	15.53	434	152373	526
2020-01-18	8	10797	5.38	214	250844	832
2020-01-18	9	5013	51.39	916	118550	468
2020-01-18	10	5269	10.07	120	92128	399
2020-01-18	11	6580	48.17	302	190542	547
2020-01-18	12	9822	40.86	954	256589	805
2020-01-18	13	16640	28.64	116	374861	1195
2020-01-18	14	2485	49.55	554	56346	538
2020-01-18	15	12233	47.43	806	273503	802
2020-01-18	16	13728	46.4	290	411050	1299
2020-01-18	17	8381	11.93	934	271281	910
2020-01-18	18	10734	37.67	388	331120	980
2020-01-18	19	4614	10.51	92	136739	736
2020-01-18	20	16048	24.89	211	361076	1134
2020-01-19	1	7259	13.16	114	228417	758
2020-01-19	2	6940	51.58	416	236444	781
2020-01-19	3	9065	14.12	321	232937	835
2020-01-19	4	10351	10.31	158	325695	1070
2020-01-19	5	9990	20.34	577	213097	848
2020-01-19	6	8432	6.44	159	224324	706
2020-01-19	7	4024	33.03	177	106330	663
2020-01-19	8	9017	16.52	94	263038	875
2020-01-19	9	5123	7.75	1086	158840	598
2020-01-19	10	9124	38.21	374	201597	767
2020-01-19	11	6576	27.11	1011	169240	586
2020-01-19	12	14448	45.25	457	489468	1245
2020-01-19	13	7507	50.06	243	225538	783
2020-01-19	14	4380	42.88	1016	79460	271
2020-01-19	15	4645	7.38	437	98884	527
2020-01-19	16	5879	38.09	546	161072	668
2020-01-19	17	6278	30.51	1082	198772	699
2020-01-19	18	10105	41.2	499	191519	684
2020-01-19	19	5132	42.17	425	114721	405
2020-01-19	20	3797	28.58	159	102060	649
2020-01-20	1	8428	26.07	181	173021	779
2020-01-20	2	6800	18.54	850	191020	641
2020-01-20	3	6714	27.23	464	205679	649
2020-01-20	4	26258	37.48	1113	490036	1319
2020-01-20	5	9637	11.47	580	289642	988
2020-01-20	6	2239	38.24	358	39866	346
2020-01-20	7	3098	8.02	188	77834	384
2020-01-20	8	5585	10.84	791	180275	632
2020-01-20	9	16746	41.32	707	306598	1037
2020-01-20	10	4660	46.1	940	148078	603
2020-01-20	11	8887	41.91	939	182556	581
2020-01-20	12	7665	5.45	661	242004	840
2020-01-20	13	5534	52.35	846	188569	543
2020-01-20	14	3886	49.52	514	88576	448
2020-01-20	15	6008	5.09	266	172020	706
2020-01-20	16	15329	49.62	571	397808	1111
2020-01-20	17	8882	27.15	207	190650	608
2020-01-20	18	9737	11.97	317	234437	901
2020-01-20	19	8286	37.51	436	275479	1052
2020-01-20	20	2864	50.55	357	80463	502
2020-01-21	1	1530	21.8	701	29356	101
2020-01-21	2	14424	46.75	105	403289	687
2020-01-21	3	15147	48.82	156	343189	1081
2020-01-21	4	6759	22.15	559	130969	634
2020-01-21	5	9727	51.86	93	282193	982
2020-01-21	6	8371	26.07	931	224725	652
2020-01-21	7	13984	33.56	857	474341	1342
2020-01-21	8	4575	27.06	695	87112	452
2020-01-21	9	7469	41.58	271	199940	663
2020-01-21	10	2179	12.64	703	65343	288
2020-01-21	11	8431	28.76	492	259913	1018
2020-01-21	12	3762	12.29	291	87251	422
2020-01-21	13	8843	43.41	672	241984	797
2020-01-21	14	16120	28.05	882	523082	1390
2020-01-21	15	3808	18.94	502	111558	582
2020-01-21	16	12288	10.16	95	328835	788
2020-01-21	17	5192	25.75	407	135560	636
2020-01-21	18	5321	7.64	723	167402	503
2020-01-21	19	7389	27.69	292	235508	857
2020-01-21	20	9971	46.8	1021	344342	1078
2020-01-22	1	5973	5.8	794	192921	766
2020-01-22	2	19753	34.05	493	441333	1290
2020-01-22	3	8835	28.24	495	160727	862
2020-01-22	4	5228	5.12	393	125545	626
2020-01-22	5	5383	48.77	435	164126	799
2020-01-22	6	14489	8.48	995	303061	1020
2020-01-22	7	7104	49.88	187	193740	856
2020-01-22	8	9871	27.33	510	203644	785
2020-01-22	9	18373	48.29	707	338301	1129
2020-01-22	10	3881	32.07	317	83278	408
2020-01-22	11	2467	12.66	148	39154	464
2020-01-22	12	5969	42.98	963	169243	738
2020-01-22	13	5654	5.78	326	160255	767
2020-01-22	14	12083	26.34	779	219626	931
2020-01-22	15	7360	39.22	744	179155	712
2020-01-22	16	7702	29.89	869	164764	661
2020-01-22	17	17472	18.92	979	337580	983
2020-01-22	18	4779	17.93	595	88394	620
2020-01-22	19	8924	40.03	789	275858	891
2020-01-22	20	11856	12.57	486	284537	908
2020-01-23	1	9871	27.74	645	283481	897
2020-01-23	2	8932	26.67	374	171636	755
2020-01-23	3	8789	15.73	89	282393	939
2020-01-23	4	10801	44.55	322	274950	1003
2020-01-23	5	7224	11	766	235146	685
2020-01-23	6	6315	22.13	609	204512	845
2020-01-23	7	5594	45.77	192	159744	762
2020-01-23	8	6828	33.49	466	188587	803
2020-01-23	9	7456	52.2	997	149726	758
2020-01-23	10	8315	16.11	215	275146	910
2020-01-23	11	3751	27.14	418	73773	773
2020-01-23	12	7980	43.05	1114	154518	783
2020-01-23	13	9714	21.17	528	245328	869
2020-01-23	14	11683	52.39	504	232821	869
2020-01-23	15	10853	37.92	109	337678	1039
2020-01-23	16	9437	9.05	262	277498	905
2020-01-23	17	6952	8.26	356	131398	714
2020-01-23	18	6432	51.95	585	137799	713
2020-01-23	19	10911	22.72	195	235649	1042
2020-01-23	20	8283	20.07	430	283249	820
2020-01-24	1	13194	34.32	207	244191	837
2020-01-24	2	5708	32.67	963	169292	609
2020-01-24	3	7769	14.54	976	210272	582
2020-01-24	4	2389	24.84	524	49795	586
2020-01-24	5	4318	41.42	752	138247	622
2020-01-24	6	6449	35.82	407	142761	373
2020-01-24	7	13587	15.79	1067	282942	1021
2020-01-24	8	6021	21.68	777	121654	517
2020-01-24	9	7509	33.77	1015	221397	658
2020-01-24	10	12969	49.14	458	371997	1132
2020-01-24	11	9676	35.53	1115	258056	930
2020-01-24	12	5581	19.55	976	169037	606
2020-01-24	13	3863	16.41	517	109393	516
2020-01-24	14	8209	6.65	526	252134	1046
2020-01-24	15	3393	7.59	1062	106312	410
2020-01-24	16	10483	9.22	593	300455	972
2020-01-24	17	7691	7.76	723	203987	509
2020-01-24	18	9272	51.57	161	209026	886
2020-01-24	19	7414	52.22	66	187323	666
2020-01-24	20	10202	45.07	113	230077	938
2020-01-25	1	6742	48.84	711	165284	400
2020-01-25	2	8669	13.66	764	243960	847
2020-01-25	3	8322	27.02	698	269627	949
2020-01-25	4	7252	36.94	404	161042	803
2020-01-25	5	7448	28.67	614	179733	901
2020-01-25	6	5703	9.14	573	108062	545
2020-01-25	7	7580	15.98	543	236142	801
2020-01-25	8	13308	52.32	993	352553	1050
2020-01-25	9	7609	5.83	926	258349	841
2020-01-25	10	7513	51.86	1065	178437	715
2020-01-25	11	3356	36.4	1067	65931	515
2020-01-25	12	6329	10.89	296	191820	783
2020-01-25	13	7411	8.19	1061	184182	737
2020-01-25	14	10451	14.22	1107	230354	716
2020-01-25	15	11173	40.2	879	235278	905
2020-01-25	16	5759	25.18	906	134200	570
2020-01-25	17	7183	31.49	522	235378	920
2020-01-25	18	7911	40.95	625	148945	679
2020-01-25	19	2350	27.98	212	65075	154
2020-01-25	20	12405	20.07	926	251223	987
2020-01-26	1	7993	8.73	74	214654	957
2020-01-26	2	13835	28.03	1014	264604	832
2020-01-26	3	5581	29.59	291	163807	597
2020-01-26	4	9043	38.43	432	198673	489
2020-01-26	5	10286	29.86	204	212451	922
2020-01-26	6	10579	34.2	435	307127	995
2020-01-26	7	8775	29.86	967	202958	898
2020-01-26	8	7644	26.6	957	163525	662
2020-01-26	9	15649	33.29	991	349944	1198
2020-01-26	10	7969	52.56	153	175265	674
2020-01-26	11	6856	41.03	452	169971	694
2020-01-26	12	5951	27.31	612	143748	514
2020-01-26	13	11742	46.51	936	242279	874
2020-01-26	14	14918	45.57	837	313512	994
2020-01-26	15	12698	12.88	309	330627	1035
2020-01-26	16	6623	15.75	434	161937	611
2020-01-26	17	9875	28.98	764	295656	1048
2020-01-26	18	16929	38.02	115	326732	1036
2020-01-26	19	4944	13.59	1106	158448	557
2020-01-26	20	9967	44.52	521	193944	846
2020-01-27	1	7833	32.16	356	218312	829
2020-01-27	2	15646	49.62	784	523316	1387
2020-01-27	3	6474	48.53	246	148211	661
2020-01-27	4	3168	29.81	418	95960	312
2020-01-27	5	7197	10.28	119	198555	642
2020-01-27	6	1890	39.39	709	40632	280
2020-01-27	7	5951	28.11	322	125346	650
2020-01-27	8	8270	46.85	719	163219	782
2020-01-27	9	8210	14.56	1113	199747	559
2020-01-27	10	4462	6.43	1015	127722	673
2020-01-27	11	4214	46.39	679	99260	455
2020-01-27	12	5793	7.36	956	151177	668
2020-01-27	13	4173	26.92	177	122949	378
2020-01-27	14	1156	27.53	540	27067	92
2020-01-27	15	8648	44.16	318	211635	829
2020-01-27	16	2532	41.55	942	67591	422
2020-01-27	17	5761	38.62	445	193412	659
2020-01-27	18	9053	23.8	268	304563	921
2020-01-27	19	11170	37.25	362	363802	963
2020-01-27	20	6378	45.4	947	179210	775
2020-01-28	1	6709	14.77	575	200893	720
2020-01-28	2	8608	43.99	960	170004	712
2020-01-28	3	10050	33.04	104	210507	604
2020-01-28	4	6102	51.25	1099	191103	760
2020-01-28	5	16971	31.28	129	332373	902
2020-01-28	6	11661	28.66	535	326740	1118
2020-01-28	7	8191	35.59	716	172629	782
2020-01-28	8	14118	50.7	280	450521	1290
2020-01-28	9	14189	26.03	117	296979	953
2020-01-28	10	10709	24.31	119	223475	851
2020-01-28	11	13058	15.87	624	343657	1082
2020-01-28	12	6219	35.37	438	177978	835
2020-01-28	13	22761	40.24	932	462830	1239
2020-01-28	14	4528	43.94	956	146479	555
2020-01-28	15	4104	41.55	1005	60622	654
2020-01-28	16	9819	39.25	601	187684	711
2020-01-28	17	5565	39.73	880	129999	521
2020-01-28	18	8032	38.89	848	234802	905
2020-01-28	19	10385	27.03	987	338298	1033
2020-01-28	20	6585	51.04	540	181292	665
2020-01-29	1	2186	32.81	685	35610	261
2020-01-29	2	14022	49.3	186	256943	1044
2020-01-29	3	4736	32.13	367	146755	575
2020-01-29	4	9353	12.03	1019	313532	1024
2020-01-29	5	4241	53.17	334	119885	721
2020-01-29	6	7970	53.06	297	182684	715
2020-01-29	7	11828	5.22	103	251119	953
2020-01-29	8	7754	30.24	865	250309	811
2020-01-29	9	7920	44.54	770	202287	834
2020-01-29	10	2503	43	781	72542	472
2020-01-29	11	12130	7.03	944	396980	1167
2020-01-29	12	8469	15.81	323	217669	728
2020-01-29	13	5031	27.07	714	161301	693
2020-01-29	14	2706	29.74	1100	67141	333
2020-01-29	15	8308	22.48	559	175063	806
2020-01-29	16	6832	53.02	209	125533	763
2020-01-29	17	14146	40.88	914	455899	1130
2020-01-29	18	12906	32.8	422	328450	1020
2020-01-29	19	1750	46.98	307	32047	417
2020-01-29	20	11932	15.18	137	341684	936
2020-01-30	1	8252	7.48	726	224069	835
2020-01-30	2	11251	52.98	916	304425	966
2020-01-30	3	12924	27.66	650	244442	926
2020-01-30	4	6130	24.43	1042	143398	751
2020-01-30	5	7765	37.49	628	177414	751
2020-01-30	6	7595	51.28	224	224347	882
2020-01-30	7	5976	52.91	818	143560	644
2020-01-30	8	9629	11.46	297	196175	675
2020-01-30	9	8897	37.7	964	276820	814
2020-01-30	10	11658	16.34	970	313989	843
2020-01-30	11	3597	20.6	983	73886	282
2020-01-30	12	3402	47.1	1045	91524	700
2020-01-30	13	8555	7.3	263	261432	919
2020-01-30	14	8284	31.94	769	282534	877
2020-01-30	15	8722	32.81	715	254459	958
2020-01-30	16	5795	10.09	887	125118	579
2020-01-30	17	12633	22.05	812	352890	1114
2020-01-30	18	15843	19.65	508	321323	1005
2020-01-30	19	6487	21.57	1044	180367	795
